cpuMark,threadMark,TDP,cores,testDate,Desktop,Laptop,Mobile/Embedded,Server,Unknown
28368,3485,105.0,8,2020,1,0,0,0,0
28271,1689,155.0,24,2017,0,0,0,1,0
28079,1085,53.0,64,2021,0,0,0,0,1
28037,2293,180.0,16,2017,1,0,0,0,0
27904,2790,165.0,14,2020,1,0,0,0,0
27617,1691,140.0,22,2019,0,0,0,1,0
27470,2013,165.0,24,2019,0,0,0,1,0
27445,1934,120.0,32,2019,0,0,0,1,0
27429,3965,150.0,6,2021,1,0,0,0,0
27391,3766,45.0,6,2022,0,1,0,0,0
27377,2123,165.0,28,2018,0,0,0,1,0
27325,2413,140.0,18,2017,0,0,0,1,0
27211,2290,150.0,16,2020,0,0,0,1,0
27186,3967,150.0,6,2021,1,0,0,0,0
27065,3397,65.0,8,2022,1,0,0,0,0
26901,2247,150.0,16,2020,0,0,0,1,0
26699,2525,165.0,16,2017,1,0,0,0,0
26696,2766,165.0,12,2019,1,0,0,0,0
26659,1903,53.0,24,2018,0,0,0,1,0
26657,2285,125.0,20,2019,0,0,0,1,0
26508,2490,165.0,14,2017,1,0,0,0,0
26485,1984,150.0,24,2017,0,0,0,1,0
26469,2285,250.0,32,2018,1,0,0,0,0
26446,2013,120.0,12,2020,0,0,0,1,0
26400,1826,165.0,24,2022,0,0,0,1,0
26288,2196,150.0,16,2019,0,0,0,1,0
26031,3619,125.0,8,2021,1,0,0,1,0
25984,2810,165.0,12,2020,0,0,0,1,0
25974,2622,180.0,12,2019,0,0,0,1,0
25875,2617,220.0,12,2021,1,0,0,1,0
25740,2396,125.0,18,2019,0,0,0,1,0
25644,3386,65.0,8,2021,1,0,0,0,0
25539,3519,125.0,8,2021,1,0,0,0,0
25532,2225,53.0,20,2021,0,0,0,1,0
25508,2850,105.0,8,2022,1,0,0,0,0
25484,1809,155.0,16,2017,0,0,0,1,0
25460,3428,35.0,8,2022,0,1,0,0,0
25396,1455,53.0,26,2019,0,0,0,1,0
25390,3563,125.0,8,2021,1,0,0,0,0
25291,2621,165.0,12,2018,1,0,0,0,0
25203,2482,180.0,12,2018,1,0,0,0,0
25202,3494,125.0,8,2021,1,0,0,1,0
25191,2200,125.0,20,2021,0,0,0,1,0
25004,3361,65.0,8,2021,1,0,0,0,0
